code,distance,noise_profile,error_rate,model,sim_LER,n_shots
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.01,GAT,0.132900,100000
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.01,APPNP,0.971130,100000
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.01,GNN,0.384320,100000
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.01,GraphTransformer,0.053090,100000
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.01,GraphMamba,0.053720,100000
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.05,NoCorrection,0.135840,100000
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.05,MWPM,0.231950,100000
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.05,MWPM_mv,0.184230,100000
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.05,CNN,0.203260,100000
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.05,GCN,0.775200,100000
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.05,GCNII,0.135840,100000
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.05,GAT,0.258030,100000
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.05,APPNP,0.864130,100000
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.05,GNN,0.173630,100000
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.05,GraphTransformer,0.092340,100000
color_code,3,dp0.001_mf0.01_rf0.01_gd0.008,0.05,GraphMamba,0.094740,100000
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.005,NoCorrection,0.015190,100000
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.005,MWPM,0.262060,100000
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.005,MWPM_mv,0.198430,100000
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.005,CNN,0.195590,100000
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.005,GCN,0.017800,100000
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.005,GCNII,0.984810,100000
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.005,GAT,0.164970,100000
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.005,APPNP,0.984810,100000
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.005,GNN,0.329900,100000
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.005,GraphTransformer,0.052250,100000
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.005,GraphMamba,0.066260,100000
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.01,NoCorrection,0.029490,100000
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.01,MWPM,0.267600,100000
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.01,MWPM_mv,0.204070,100000
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.01,CNN,0.229450,100000
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.01,GCN,0.939000,100000
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.01,GCNII,0.970510,100000
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.01,GAT,0.147650,100000
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.01,APPNP,0.970510,100000
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.01,GNN,0.452320,100000
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.01,GraphTransformer,0.088580,100000
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.01,GraphMamba,0.092070,100000
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.05,NoCorrection,0.135360,100000
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.05,MWPM,0.305400,100000
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.05,MWPM_mv,0.250700,100000
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.05,CNN,0.277740,100000
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.05,GCN,0.558330,100000
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.05,GCNII,0.135360,100000
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.05,GAT,0.184630,100000
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.05,APPNP,0.135360,100000
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.05,GNN,0.445130,100000
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.05,GraphTransformer,0.151140,100000
color_code,3,dp0.005_mf0.02_rf0.02_gd0.015,0.05,GraphMamba,0.151940,100000
color_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.005,NoCorrection,0.014780,100000
color_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.005,MWPM,0.303640,100000
color_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.005,MWPM_mv,0.244640,100000
color_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.005,CNN,0.269320,100000
color_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.005,GCN,0.753960,100000
color_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.005,GCNII,0.985220,100000
color_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.005,GAT,0.278310,100000
color_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.005,APPNP,0.985220,100000
color_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.005,GNN,0.121500,100000
color_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.005,GraphTransformer,0.014780,100000
color_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.005,GraphMamba,0.027060,100000
color_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.01,NoCorrection,0.029500,100000
color_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.01,MWPM,0.309140,100000
color_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.01,MWPM_mv,0.254170,100000
color_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.01,CNN,0.265940,100000
color_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.01,GCN,0.560670,100000
color_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.01,GCNII,0.970500,100000
color_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.01,GAT,0.172530,100000
color_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.01,APPNP,0.029500,100000
color_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.01,GNN,0.209000,100000
color_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.01,GraphTransformer,0.047380,100000
color_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.01,GraphMamba,0.069150,100000
color_code,3,dp0.01_mf0.05_rf0.05_gd0.01,0.05,NoCorrection,0.134450,100000
