code,noise,Distance,Error_Rate(p),Error_Type,model,Best_ECR(%),Accuracy(%),Inference_Time(ms),Epochs,Learning_Rate,Train_Loss,Val_Loss
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.01,X,CNN,89.94,87.59,0.0001,9,0.001,0.481156,0.488671
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.05,X,CNN,75.77,83.57,0.0001,1,0.001,0.722023,0.702009
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.05,X,CNN,78.96,80.62,0.0001,2,0.001,0.70475,0.699634
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.05,X,CNN,83.66,76.56,0.0002,3,0.001,0.702962,0.698617
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.05,X,CNN,78.73,81.12,0.0002,4,0.001,0.702166,0.698592
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.05,X,CNN,82.26,78.05,0.0002,5,0.001,0.701622,0.698133
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.05,X,CNN,78.54,81.33,0.0002,6,0.001,0.701255,0.697824
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.05,X,CNN,79.42,80.42,0.0002,7,0.001,0.700933,0.697681
color_code,dp0.001_mf0.01_rf0.01_gd0.008,3,0.05,X,CNN,80.09,79.89,0.0001,8,0.001,0.700686,0.697636
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.005,X,CNN,87.95,87.06,0.0003,1,0.001,0.728084,0.628721
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.005,X,CNN,89.39,87.53,0.0001,2,0.001,0.599016,0.585921
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.005,X,CNN,90.23,88.04,0.0001,3,0.001,0.56402,0.563515
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.005,X,CNN,90.58,88.34,0.0001,4,0.001,0.539966,0.550476
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.005,X,CNN,90.28,89.0,0.0001,5,0.001,0.52368,0.540609
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.005,X,CNN,90.06,89.61,0.0001,6,0.001,0.510549,0.534812
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.005,X,CNN,90.16,89.6,0.0001,7,0.001,0.500607,0.532396
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.005,X,CNN,90.17,89.61,0.0001,8,0.001,0.490893,0.533699
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.005,X,CNN,90.12,89.66,0.0001,9,0.001,0.482533,0.53329
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.01,X,CNN,87.01,85.75,0.0001,1,0.001,0.748247,0.660205
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.01,X,CNN,89.03,86.03,0.0001,2,0.001,0.62887,0.613039
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.01,X,CNN,89.42,87.19,0.0001,3,0.001,0.591857,0.586098
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.01,X,CNN,89.58,87.81,0.0001,4,0.001,0.56986,0.573354
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.01,X,CNN,89.28,88.55,0.0001,5,0.001,0.555938,0.56524
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.01,X,CNN,89.92,88.23,0.0001,6,0.001,0.545553,0.557665
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.01,X,CNN,89.69,88.58,0.0001,7,0.001,0.537586,0.554771
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.01,X,CNN,89.46,89.0,0.0001,8,0.001,0.530848,0.551929
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.01,X,CNN,89.25,89.31,0.0001,9,0.001,0.524394,0.550973
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.01,X,CNN,90.44,88.13,0.0001,10,0.001,0.519533,0.550678
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.01,X,CNN,89.66,89.05,0.0001,11,0.001,0.514674,0.54901
color_code,dp0.001_mf0.01_rf0.01_gd0.008,7,0.01,X,CNN,89.18,89.55,0.0001,12,0.001,0.510052,0.549504
